Time (sec)	AF Correction 1 (%)	AF Learning 1 (%)	AF Sens 1 Ratio (AFR)	AVCS Exh Left (°)	AVCS Exh Right (°)	AVCS In Left (°)	AVCS In Right (°)	Accel Position (%)	Baro Pressure (psi)	Boost (psi)	CL Fuel Target (AFR)	Calculated Load (g/rev)	Comm Fuel Final (AFR)	Coolant Temp (F)	Dyn Adv Mult (DAM)	EGR Commanded (steps)	Ethanol Conc FINAL (%)	Ethanol Conc RAW (%)	Feedback Knock (°)	Fine Knock Learn (°)	Gear Position (gear)	Ign Comp IAT (°)	Ignition Timing (°)	Inj Duty Cycle (%)	Inj Timing H EOI NEW (°)	Inj Timing H SOI NEW (°)	Intake Temp (F)	Intake Temp Manifold (F)	KS Noise Cyl 1 (raw)	KS Noise Cyl 2 (raw)	KS Noise Cyl 3 (raw)	KS Noise Cyl 4 (raw)	MAF Corr Final (g/s)	MAF Freq (kHz)	Oil Temp (F)	RPM (RPM)	Req Torque (Nm)	Roughness Cyl 1 (count)	Roughness Cyl 2 (count)	Roughness Cyl 3 (count)	Roughness Cyl 4 (count)	Sns Fuel Press MONITOR (psi)	TD Prop WG Pos Corr (mm)	TGV Map Ratio (mult)	Target Boost Final Rel (psi)	Throttle Pos (%)	Wastegate Init Pos Final (mm)	Wastegate Pos Actual (mm)	Wastegate Pos Comm (mm)	Wastegate Pos Learn Corr (mm)	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 1 93 Octane Baseline]
0.560	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.12	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	52	49	48	59	9.1	2500	200	905	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.582	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.81	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	40	41	51	49	8.9	2500	200	893	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.604	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.85	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	56	47	56	53	9.0	2500	200	904	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.630	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.16	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	47	60	52	48	9.0	2500	200	896	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.652	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.93	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	52	57	41	42	9.1	2500	200	906	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.674	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.87	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	60	43	56	59	9.1	2500	200	908	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.696	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.13	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	48	58	44	50	9.0	2500	200	900	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.722	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.96	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	58	47	58	41	9.0	2500	200	896	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.746	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.06	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	42	58	42	46	9.1	2500	200	910	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.768	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.96	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	45	45	52	47	8.9	2500	200	892	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.794	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.91	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	51	47	58	43	9.1	2500	200	905	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.820	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.82	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	42	41	50	57	9.1	2500	200	905	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.846	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.06	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	46	58	57	53	9.0	2500	200	904	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.868	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.12	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	55	47	48	44	9.0	2500	200	899	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.894	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.08	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	42	41	49	50	9.0	2500	200	898	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.916	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.17	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	41	45	56	48	8.9	2500	200	891	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.940	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.91	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	45	60	48	52	9.0	2500	200	902	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.962	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.91	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	54	42	59	57	9.0	2500	200	902	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.986	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.97	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	57	52	55	47	9.1	2500	200	907	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.012	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.81	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	55	50	52	60	9.0	2500	200	899	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.036	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.08	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	49	57	59	54	9.0	2500	200	899	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.056	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.07	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	52	50	44	57	9.0	2500	200	904	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.076	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.07	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	47	59	48	40	9.0	2500	200	899	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.096	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.01	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	48	58	50	48	9.0	2500	200	898	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.122	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.03	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	48	49	54	44	9.1	2500	200	907	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.142	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.11	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	43	42	54	59	9.1	2500	200	907	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.168	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.95	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	55	58	44	55	9.0	2500	200	898	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.194	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.16	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	57	59	43	47	9.1	2500	200	905	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.214	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.84	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	40	49	50	46	8.9	2500	200	890	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.240	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.11	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	53	40	59	53	9.1	2500	200	910	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.262	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.15	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	48	47	53	47	9.1	2500	200	909	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.286	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.17	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	45	41	53	42	9.0	2500	200	902	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
1.308	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.19	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	58	55	53	56	9.1	2500	200	907	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
